03-16-2026 20:27:43.450,-,AT," ,0013A2004198F8D5,802.15.4 TH PRO,2003,COM9 - 115200/8/N/1/N,1,45"

03-16-2026 20:27:43.496,356,RECV,AA0064050000000001BBAA0083080000000000000000BBAA0083080000000000000000BB
03-16-2026 20:27:44.559,357,RECV,AA0080080340000001BBCC00BBAA0082089500544100000000BBAA0084080000000000000000BBAA0086080000000000000000BBAA008808C073BC3CEAD36F41BBAA008B0840089C407097B641BBAA008D08F305B74400000000BBAA009708FFFFC74200000000BB
03-16-2026 20:27:45.606,358,RECV,AA0083080000000000000000BBAA0083080000000000000000BB
03-16-2026 20:27:45.606,359,RECV,AA0551056300000001BBAA0064050000000001BBAA0083080000000000000000BB
03-16-2026 20:27:45.606,360,RECV,AA0083080000000000000000BBAA0081080000000000BB0000BBAA00830800000000000000
03-16-2026 20:27:45.606,361,RECV,00BBAA0085083F7883BD1F62CDBDBBAA0087080000000000000000BBAA0064050000000001BBAA009708FFFFC74200000000BBAA0083080000000000000000BB
03-16-2026 20:27:45.606,362,RECV,AA0083080000000000000000BBAA0551056300000001BBAA0064050000000001BBAA0083080000000000000000BB
03-16-2026 20:27:45.606,363,RECV,AA0083080000000000000000BB
03-16-2026 20:27:45.606,364,RECV,AA0081080000000000000000BBAA055105630000000000AA0084080000000000000000BBAA0086080000000000000000BBAA0064050000000001BBAA009708FFFFC74200000000BBAA0083080000000000000000BB
03-16-2026 20:27:45.606,365,RECV,AA0083080000000000000000BBAA0551056300000001BBAA0064050000000001BBAA0083080000000000000000BB
03-16-2026 20:27:45.606,366,RECV,AA0083080000000000000000BB
03-16-2026 20:27:45.606,367,RECV,AA0081080000000000000000BBAA0083080000000001BB0000BBAA0085083F2B78BDDF2AD1BDBBAA0087080000000000000000BBAA009708FFFFC74200000000BBAA0083080000000000000000BB
03-16-2026 20:27:45.606,368,RECV,AA0083080000000000000000BBAA0551056300000001BBAA0064050000000001BBAA0083080000000000000000BB
03-16-2026 20:27:45.606,369,RECV,AA0083080000000000000000BB
03-16-2026 20:27:45.606,370,RECV,AA0081080000000000000000BBAA0083080000000000000000BBAA05510563000000DF30AA0086080000000000000000BBAA009708FFFFC74200000000BBAA0083080000000000000000BB
03-16-2026 20:27:45.606,371,RECV,AA0083080000000000000000BBAA0551056300000001BBAA0064050000000001BB
03-16-2026 20:27:45.606,372,RECV,AA0083080000000000000000BBAA0083080000000000000000BB
03-16-2026 20:27:45.606,373,RECV,AA00800803400000ED000000BBAA008208F1E1534100000000BBAA0084080000000000000000BBAA055105630000000000AA0087080000000000000000BBAA008908EBE1ED3FD1C75340BBAA008C0890E1BD4100000000BBAA008E083B98153D00000000BB
03-16-2026 20:27:45.606,374,RECV,AA0083080000000000000000BBAA0083080000000000000000BB
03-16-2026 20:27:45.606,375,RECV,AA0064050000000001BBAA0083080000000000000000BBAA0083080000000000000000BB
03-16-2026 20:27:45.606,376,RECV,AA0081080000000000000000BBAA0083080000000000000000BBAA0085080000000001BBD1BDBBAA055105630000000100AA009708FFFFC74200000000BB
03-16-2026 20:27:45.606,377,RECV,AA0083080000000000000000BBAA0083080000000000000000BBAA0064050000000001BBAA0551056300000001BB
03-16-2026 20:27:45.606,378,RECV,AA0083080000000000000000BB
